COD PROVEIDOR;NUM. FRA.;DATA;Base Imposable;% IVA;Trimestre;Empty00;Num;Extraccio: NUM. FRA.2;Extraccio: DATA;Extraccio: NIF;Extraccio: PROVEIDOR;Extraccio: COMPTE;Extraccio: Base Imposable;Extraccio: %;Empty01;Empty02;Empty03;Empty04;Empty05;Extraccio: ES FACTURA?  SI/NO;Extraccio: ACTIVITAT EXEMPTA IVA?;Extraccio: PAIS;Extraccio: DESCRIPCIO INVERSIO
Gas;21240103010792020;03/01/2024;115,42;10;1; ;1;21240103010792020;03/01/2024;A95758389;Iberdrola;629;115,42;0,1; ; ; ; ; ;SI;;España;Gas
Serveis Microsoft Office;G035391350;05/01/2024;5,6;21;1; ;2;G035391350;05/01/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Llum;21240116010050900;16/01/2024;67,77;10;1; ;3;21240116010050900;16/01/2024;A66098435;Iberdrola;628;67,77;0,1; ; ; ; ; ;SI;;España;Llum
Internet y movil;CI00000063811996;04/02/2024;33,84;21;1; ;4;CI00000063811996;04/02/2024;A80907397;Vodafone España S.A.U;629;33,84;0,21; ; ; ; ; ;SI;;España;Internet y movil
Serveis Microsoft Office;G037897424;05/02/2024;5,6;21;1; ;5;G037897424;05/02/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Aigüa;20240942778;09/02/2024;30,21;10;1; ;6;20240942778;09/02/2024;A95758389;Aigues de Barcelona;629;30,21;0,1; ; ; ; ; ;SI;;España;Aigüa
Llum;21240213010040432;13/02/2024;76,24;10;1; ;7;21240213010040432;13/02/2024;A66098435;Iberdrola;628;76,24;0,1; ; ; ; ; ;SI;;España;Llum
Gas;21240305010293492;05/03/2024;84,46;10;1; ;8;21240305010293492;05/03/2024;A95758389;Iberdrola;629;84,46;0,1; ; ; ; ; ;SI;;España;Gas
Serveis Microsoft Office;G040370905;05/03/2024;5,6;21;1; ;9;G040370905;05/03/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Internet y movil;CI00000064892373;15/03/2024;33,76;21;1; ;10;CI00000064892373;15/03/2024;A80907397;Vodafone España S.A.U;629;33,76;0,21; ; ; ; ; ;SI;;España;Internet y movil
Llum;21240318010043160;18/03/2024;82,95;21;1; ;11;21240318010043160;18/03/2024;A66098435;Iberdrola;628;82,95;0,21; ; ; ; ; ;SI;;España;Llum
Serveis Microsoft Office;G043656401;06/04/2024;5,6;21;2; ;1;G043656401;06/04/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Llum;21240410010038032;10/04/2024;-2,74;21;2; ;2;21240410010038032;10/04/2024;A66098435;Iberdrola;628;-2,74;0,21; ; ; ; ; ;SI;;España;Llum
Aigüa;20242467667;11/04/2024;28,61;10;2; ;3;20242467667;11/04/2024;A95758389;Aigues de Barcelona;629;28,61;0,1; ; ; ; ; ;SI;;España;Aigüa
